Stars, Create, Sort , Allocate , Fill, Histogram
10000,0.003737,0.005537,0.001352,1.457978,2.808026
10000,0.004940,0.006073,0.001411,1.430535,2.785031
10000,0.003319,0.005394,0.001304,1.439230,2.797011
10000,0.003993,0.007577,0.001322,1.448765,3.031009
10,0.000012,0.000010,0.000001,0.000002,0.000007
100,0.000034,0.000074,0.000010,0.000176,0.000310
1000,0.000273,0.000516,0.000083,0.014988,0.028669
10000,0.004812,0.007985,0.001872,1.435887,2.737345
30000,0.011819,0.018369,0.011146,13.253540,30.949197
10000,0.002737,0.008491,0.003000,1.449498,2.745808
1000,0.000500,0.000771,0.000083,0.014671,0.030147
1000,0.000244,0.000449,0.000088,0.015141,0.032218
10000,0.004854,0.008418,0.002092,1.427990,2.711751
1000,0.000294,0.000531,0.000079,0.007978,0.029072
7,-0.000000,0.000006,0.000001,0.000000,0.000005
1000,0.000286,0.000548,0.000088,0.008238,0.028203
7,26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000,0.000005,0.000001,0.000001,0.000004
1000,0.000276,0.000490,0.000056,0.009760,0.027674
10000,0.002746,0.005231,0.001298,1.067241,2.604253
10,0.000008,0.000012,0.000001,0.000001,0.000008
7,-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000006,0.000001,0.000001,0.000005
10000,0.002745,0.005222,0.001512,1.047563,2.599859
100,0.000034,0.000075,0.000009,0.000097,0.000490
10,0.000010,0.000011,0.000002,0.000002,0.000007
1000,0.000296,0.000527,0.000096,0.009925,0.027496
10000,0.002754,0.005188,0.001340,1.044429,2.630254
7,-0.000000,0.000011,0.000002,0.000003,0.000006
7,-0.000000,0.000027,0.000001,0.000002,0.000006
10,0.000008,0.000014,0.000002,0.000007,0.000009
8,0.000009,0.000010,0.000001,0.000004,0.000005
8,0.008712,0.006326,0.000590,0.003136,0.005518
10,0.000010,0.000015,0.000002,0.000006,0.000010
10,0.000010,0.000016,0.000002,0.000007,0.000010
10,0.000009,0.000014,0.000003,0.000007,0.000011
10000,0.002790,0.008993,0.001356,0.383102,5.357865
7,3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000,0.000009,0.000001,0.000015,0.000006
7,2.000000,0.000011,0.000003,0.000016,0.000007
10,0.000009,0.000016,0.000001,0.000017,0.000010
7,-0.000000,0.000010,0.000002,0.000017,0.000007
10,0.000013,0.000018,0.000003,0.000025,0.000011
8,0.000008,0.000012,0.000002,0.000032,0.000010
10000,0.003508,0.008923,0.001690,3.060020,5.312636
10000,0.002912,0.011700,0.001497,3.039454,3.245549
10000,0.003093,0.008038,0.002311,3.052477,3.009403
10000,0.002770,0.007912,0.001448,0.404518,5.025719
10,0.000009,0.000014,0.000003,0.000017,0.000011
10,0.000013,0.000015,0.000001,0.000016,0.000010
10,0.000009,0.000014,0.000002,0.000018,0.000010
7,231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000010,0.000001,0.000017,0.000006
10,0.000010,0.000014,0.000001,0.000015,0.000011
10,0.000010,0.000015,0.000002,0.000018,0.000010
8,0.000016,0.000011,0.000001,0.000015,0.000009
10,0.000011,0.000008,0.000002,0.000016,0.000006
10,0.000021,0.000011,0.000002,0.000018,0.000011
10,0.000012,0.000009,0.000001,0.000016,0.000006
10,0.000011,0.000011,0.000003,0.000019,0.000010
7,-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000009,0.000002,0.000018,0.000007
10,0.000012,0.000011,0.000002,0.000020,0.000010
10,0.000011,0.000013,0.000001,0.000022,0.000011
10,0.000010,0.000016,0.000002,0.000017,0.000010
10,0.000010,0.000014,0.000002,0.000016,0.000010
8,0.000009,0.000013,0.000001,0.000016,0.000008
8,0.000009,0.000010,0.000001,0.000018,0.000006
8,0.000008,0.000011,0.000001,0.000017,0.000007
8,0.000009,0.000013,0.000001,0.000015,0.000008
8,0.000009,0.000013,0.000001,0.000018,0.000007
8,0.000010,0.000013,0.000002,0.000016,0.000008
8,0.000012,0.000011,0.000002,0.000018,0.000027
8,0.000011,0.000011,0.000001,0.000002,0.000022
8,0.000010,0.000009,0.000002,0.000003,0.000008
8,0.000009,0.000014,0.000002,0.000003,0.000007
10000,0.002636,0.008091,0.001303,0.435107,5.153804
10000,0.002731,0.009015,0.001437,0.436959,5.408863
10000,0.002865,0.009095,0.001458,0.409290,5.052985
10,0.000010,0.000016,0.000002,0.000003,0.000014
10,0.000011,0.000014,0.000002,0.000014,0.000012
10,0.000009,0.000036,0.000001,0.000013,0.000012
8,0.000009,0.000012,0.000003,0.000003,0.000009
10,0.000009,0.000015,0.000002,0.000012,0.000012
10,0.009276,0.007938,0.000679,0.005113,0.005586
10,0.008741,0.007439,0.000622,0.004525,0.005735
8,0.000009,0.000013,0.000002,0.000003,0.000007
8,0.000008,0.000015,0.000001,0.000001,0.000008
8,0.000009,0.000013,0.000002,0.000002,0.000008
8,0.000009,0.000013,0.000002,0.000012,0.000008
10,0.000009,0.000015,0.000002,0.000011,0.000010
10,0.000010,0.000015,0.000003,0.000003,0.000013
8,0.000011,0.000014,0.000001,0.000002,0.000009
7,3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000,0.000011,0.000001,0.000012,0.000006
10,0.000009,0.000012,0.000001,0.000002,0.000009
10000,0.002655,0.008673,0.001880,0.384016,5.294229
10000,0.002770,0.009407,0.001558,3.073895,5.307777
10,0.000010,0.000014,0.000003,0.000016,0.000010
10,0.000010,0.000014,0.000003,0.000015,0.000010
10,0.000008,0.000015,0.000002,0.000017,0.000010
10,0.000010,0.000014,0.000002,0.000016,0.000010
8,0.000009,0.000011,0.000001,0.000014,0.000007
8,0.000008,0.000011,0.000001,0.000002,0.000008
16,0.000012,0.000018,0.000002,0.000006,0.000028
7,-2.000000,0.000011,0.000003,0.000002,0.000006
8,0.000009,0.000014,0.000001,0.000001,0.000010
10,0.000012,0.000015,0.000002,0.000012,0.000011
8,0.000009,0.000013,0.000001,0.000001,0.000007
10,0.000009,0.000015,0.000002,0.000012,0.000011
16,0.000011,0.000019,0.000003,0.000004,0.000023
10,0.000011,0.000015,0.000003,0.000013,0.000010
8,0.000010,0.000013,0.000001,0.000002,0.000006
10,0.000009,0.000016,0.000001,0.000016,0.000012
10,0.000013,0.000015,0.000001,0.000016,0.000012
10,0.000009,0.000015,0.000002,0.000017,0.000013
10,0.000011,0.000024,0.000023,0.000016,0.000013
10,0.000009,0.000015,0.000001,0.000014,0.000009
10,0.000014,0.000016,0.000003,0.000017,0.000012
10,0.000009,0.000029,0.000002,0.000016,0.000012
10,0.000011,0.000014,0.000003,0.000039,0.000013
10,0.000009,0.000014,0.000003,0.000034,0.000030
10,0.000009,0.000033,0.000002,0.000038,0.000012
10,0.000009,0.000016,0.000003,0.000018,0.000011
10,0.000014,0.000016,0.000003,0.000003,0.000010
10,0.000009,0.000015,0.000002,0.000006,0.000013
10,0.000008,0.000021,0.000001,0.000017,0.000010
10,0.000009,0.000015,0.000001,0.000036,0.000011
10,0.000009,0.000013,0.000001,0.000033,0.000010
10,0.000010,0.000014,0.000002,0.000015,0.000014
10,0.000010,0.000015,0.000003,0.000015,0.000012
10,0.000009,0.000015,0.000003,0.000014,0.000010
10,0.000011,0.000016,0.000002,0.000012,0.000028
10,0.000009,0.000015,0.000002,0.000012,0.000008
10,0.000009,0.000014,0.000003,0.000012,0.000011
8,0.000009,0.000013,0.000001,0.000003,0.000008
10,0.000009,0.000015,0.000002,0.000001,0.000010
10,0.000010,0.000028,0.000002,0.000004,0.000009
8,0.000013,0.000013,0.000002,0.000020,0.000010
9,0.000009,0.000013,0.000002,0.000006,0.000013
10,0.000010,0.000014,0.000001,0.000017,0.000009
10,0.000007,0.000015,0.000002,0.000012,0.000009
10,0.000010,0.000015,0.000001,0.000012,0.000010
10,0.000012,0.000012,0.000000,0.000002,0.000006
10,0.000023,0.000014,0.000003,0.000013,0.000011
10,0.000009,0.000015,0.000002,0.000002,0.000014
10,0.000013,0.000016,0.000002,0.000003,0.000011
10,0.000013,0.000013,0.000002,0.000003,0.000012
10,0.000009,0.000012,0.000002,0.000003,0.000007
10,0.000009,0.000016,0.000001,0.000012,0.000011
10,0.000009,0.000024,0.000003,0.000002,0.000013
10,0.000014,0.000016,0.000002,0.000011,0.000011
10000,0.002670,0.008180,0.001703,0.462287,5.501376
10,0.000009,0.000011,0.000002,0.000002,0.000008
10,0.000009,0.000015,0.000001,0.000013,0.000010
10,0.000010,0.000015,0.000002,0.000011,0.000010
10,0.000009,0.000016,0.000002,0.000011,0.000011
10,0.000010,0.000014,0.000002,0.000015,0.000046
10,0.000009,0.000011,0.000001,0.000013,0.000017
7,0.000000,0.000011,0.000002,0.000003,0.000007
7,-3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000,0.000012,0.000001,0.000003,0.000007
7,-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000011,0.000002,0.000002,0.000031
7,0.000000,0.000010,0.000001,0.000002,0.000006
7,0.000000,0.000011,0.000002,0.000002,0.000006
8,0.000008,0.000013,0.000002,0.000012,0.000008
8,0.000009,0.000011,0.000001,0.000002,0.000008
8,0.000010,0.000013,0.000002,0.000003,0.000008
8,0.000012,0.000014,0.000003,0.000002,0.000007
8,0.000010,0.000012,0.000002,0.000012,0.000008
8,0.000009,0.000013,0.000001,0.000002,0.000008
10,0.000015,0.000016,0.000002,0.000001,0.000010
10,0.000009,0.000014,0.000003,0.000013,0.000011
8,0.000013,0.000015,0.000001,0.000002,0.000008
8,0.000011,0.000013,0.000002,0.000013,0.000007
8,0.000010,0.000012,0.000002,0.000003,0.000007
8,0.000011,0.000012,0.000002,0.000003,0.000006
8,0.000009,0.000014,0.000002,0.000012,0.000007
8,0.000009,0.000013,0.000002,0.000004,0.000008
8,0.000009,0.000021,0.000001,0.000001,0.000005
8,0.000009,0.000051,0.000001,0.000003,0.000006
10,0.000014,0.000015,0.000001,0.000012,0.000025
10,0.000009,0.000016,0.000003,0.000008,0.000030
10,0.000010,0.000014,0.000003,0.000018,0.000011
10,0.000015,0.000017,0.000002,0.000020,0.000010
10000,0.004275,0.009110,0.002441,5.569542,5.531143
10000,0.005032,0.011676,0.001639,0.862158,5.536483
10000,0.002554,0.005212,0.001366,0.380518,2.704991
10,0.000017,0.000009,0.000001,0.000002,0.000007
7,-0.000000,0.000005,0.000001,0.000000,0.000004
8,0.000015,0.000009,0.000001,0.000021,0.000003
8,0.000009,0.000006,0.000002,0.000024,0.000004
8,0.000009,0.000006,0.000001,0.000024,0.000023
8,0.000011,0.000005,0.000001,0.000018,0.000004
8,0.000011,0.000006,0.000002,0.000100,0.000006
8,0.000010,0.000006,0.000002,0.000126,0.000012
8,0.000008,0.000005,0.000001,0.000001,0.000004
7,231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000007,0.000001,0.000000,0.000004
10000,0.002664,0.005055,0.001397,0.374232,2.651162
16,0.000011,0.000010,0.000003,0.000001,0.000014
10000,0.002846,0.005276,0.001686,0.376332,2.612388
10,0.000008,0.000008,0.000001,0.000002,0.000008
100,0.000037,0.000091,0.000006,0.000048,0.000295
10,0.000008,0.000009,0.000002,0.000001,0.000007
10000,0.002678,0.004634,0.001757,0.395260,2.735285
10000,0.002594,0.005043,0.001936,0.377976,2.594605
20000,0.005300,0.012294,0.004133,1.521173,10.632751
10000,0.002542,0.005699,0.001417,0.369142,2.774470
10,0.000011,0.000008,0.000002,0.000001,0.000007
100,0.000034,0.000066,0.000009,0.000056,0.000470
10,0.000014,0.000007,0.000001,0.000000,0.000006
100,0.000038,0.000063,0.000007,0.000058,0.000577
200,0.000066,0.000110,0.000014,0.000166,0.001301
250,0.000102,0.000188,0.000022,0.000297,0.002844
250,0.000080,0.000136,0.000022,0.000292,0.002911
250,0.000108,0.000142,0.000020,0.000288,0.002627
250,0.000107,0.000155,0.000022,0.000254,0.002678
250,0.000107,0.000154,0.000022,0.000263,0.002714
250,0.000109,0.000147,0.000022,0.000288,0.002529
258,0.000122,0.000180,0.000019,0.000314,0.002813
258,0.000135,0.000180,0.000020,0.000318,0.003355
10002,0.004324,0.008075,0.002793,0.403792,3.961490
10,0.000017,0.000008,0.000002,0.000001,0.000044
7,-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000008,0.000002,0.000001,0.000017
4,0.000009,0.000004,0.000001,0.000001,0.000005
6,0.000013,0.000006,0.000002,0.000001,0.000011
6,0.000011,0.000005,0.000002,0.000000,0.000013
8,0.000012,0.000007,0.000001,0.000000,0.000026
6,0.000009,0.000006,0.000002,0.000000,0.000016
10,0.000012,0.000009,0.000002,0.000000,0.000041
8,0.000011,0.000007,0.000003,0.000002,0.000028
6,0.000011,0.000005,0.000002,0.000000,0.000016
6,0.000012,0.000007,0.000002,0.000000,0.000015
8,0.000010,0.000007,0.000002,0.000000,0.000027
10,0.000011,0.000007,0.000002,0.000001,0.000043
20,0.000013,0.000013,0.000002,0.000003,0.000157
10,0.000012,0.000007,0.000001,0.000001,0.000041
7,0.000000,0.000007,0.000001,0.000002,0.000020
7,-2.000000,0.000008,0.000001,0.000001,0.000020
10,0.000012,0.000007,0.000002,0.000001,0.000039
11,0.000012,0.000008,0.000002,0.000002,0.000048
12,0.000012,0.000010,0.000003,0.000000,0.000059
13,0.000013,0.000011,0.000002,0.000002,0.000066
14,0.000012,0.000009,0.000003,0.000001,0.000074
14,0.000014,0.000010,0.000003,0.000002,0.000072
15,0.000013,0.000010,0.000002,0.000002,0.000133
7,0.000012,0.000005,0.000001,0.000002,0.000020
15,0.000012,0.000011,0.000003,0.000001,0.000097
10,0.000012,0.000009,0.000002,0.000000,0.000039
10,0.000012,0.000007,0.000002,0.000001,0.000039
16,0.000013,0.000012,0.000003,0.000001,0.000091
16,0.000013,0.000011,0.000003,0.000001,0.000089
16,0.000012,0.000011,0.000003,0.000002,0.000089
18,0.000014,0.000012,0.000003,0.000002,0.000109
10,0.000011,0.000008,0.000001,0.000001,0.000039
11,0.000011,0.000009,0.000001,0.000002,0.000049
7,-0.000000,0.000008,0.000001,0.000000,0.000020
7,26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000,0.000008,0.000002,0.000000,0.000022
10,0.000013,0.000008,0.000003,0.000001,0.000042
10,0.000014,0.000008,0.000001,0.000002,0.000033
10,0.000011,0.000008,0.000002,0.000002,0.000041
7,2.000000,0.000009,0.000002,0.000001,0.000019
15,0.000012,0.000010,0.000002,0.000001,0.000082
12,0.000011,0.000009,0.000002,0.000001,0.000058
18,0.000013,0.000012,0.000003,0.000003,0.000109
18,0.000014,0.000012,0.000002,0.000001,0.000107
10,0.000012,0.000009,0.000001,0.000001,0.000042
8,0.000012,0.000006,0.000003,0.000001,0.000029
9,0.000011,0.000007,0.000002,0.000000,0.000033
10,0.000013,0.000008,0.000002,0.000002,0.000042
14,0.000012,0.000010,0.000001,0.000001,0.000074
13,0.000012,0.000010,0.000002,0.000001,0.000069
12,0.000012,0.000008,0.000001,0.000001,0.000059
11,0.000014,0.000009,0.000001,0.000000,0.000046
115,0.000038,0.000072,0.000011,0.000063,0.006490
15,0.000014,0.000012,0.000002,0.000002,0.000087
14,0.000014,0.000011,0.000002,0.000010,0.000087
15,0.000015,0.000012,0.000001,0.000001,0.000091
16,0.000012,0.000010,0.000001,0.000001,0.000092
17,0.000014,0.000012,0.000003,0.000013,0.000133
18,0.000013,0.000012,0.000002,0.000001,0.000107
10,0.000012,0.000009,0.000001,0.000001,0.000042
10,0.000014,0.000008,0.000002,0.000001,0.000036
11,0.000012,0.000008,0.000002,0.000002,0.000049
11,0.000012,0.000009,0.000001,0.000001,0.000049
10,0.000010,0.000008,0.000001,0.000000,0.000050
8,0.000010,0.000005,0.000001,0.000000,0.000026
9,0.000011,0.000007,0.000001,0.000001,0.000034
7,-0.000000,0.000007,0.000002,0.000000,0.000021
10,0.000010,0.000009,0.000001,0.000002,0.000039
112,0.000038,0.000072,0.000009,0.000063,0.006333
12,0.000012,0.000008,0.000002,0.000002,0.000057
12,0.000011,0.000009,0.000001,0.000001,0.000058
12,0.000012,0.000010,0.000001,0.000002,0.000057
7,-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000,0.000008,0.000001,0.000000,0.000021
12,0.000011,0.000009,0.000002,0.000001,0.000054
12,0.000011,0.000009,0.000001,0.000001,0.000059
10,0.000011,0.000009,0.000001,0.000001,0.000040
9,0.000010,0.000008,0.000002,0.000001,0.000031
10,0.000013,0.000009,0.000002,0.000001,0.000042
7,-0.000000,0.000007,0.000001,0.000001,0.000021
20,0.000014,0.000014,0.000002,0.000011,0.000128
10,0.000011,0.000008,0.000003,0.000000,0.000040
11,0.000012,0.000009,0.000002,0.000001,0.000052
10,0.000011,0.000008,0.000002,0.000001,0.000039
13,0.000012,0.000010,0.000002,0.000001,0.000065
10,0.000011,0.000007,0.000001,0.000001,0.000039
10,0.000012,0.000008,0.000002,0.000001,0.000042
10,0.000021,0.000007,0.000002,0.000002,0.000040
10,0.000013,0.000008,0.000002,0.000000,0.000040
12,0.000013,0.000008,0.000003,0.000000,0.000059
10,0.000012,0.000007,0.000001,0.000001,0.000040
11,0.000010,0.000008,0.000002,0.000000,0.000049
10,0.000012,0.000009,0.000001,0.000001,0.000040
10,0.000012,0.000008,0.000001,0.000001,0.000041
10,0.000011,0.000007,0.000003,0.000001,0.000043
10,0.000012,0.000008,0.000001,0.000002,0.000040
7,0.000000,0.000007,0.000001,0.000001,0.000019
8,0.000011,0.000006,0.000002,0.000001,0.000027
16,0.000015,0.000011,0.000002,0.000002,0.000094
18,0.000013,0.000012,0.000003,0.000012,0.000111
26,0.000016,0.000018,0.000002,0.000015,0.000207
25,0.000015,0.000017,0.000003,0.000012,0.000278
26,0.000015,0.000017,0.000003,0.000016,0.000299
10,0.000012,0.000008,0.000003,0.000001,0.000041
14,0.000014,0.000011,0.000002,0.000001,0.000078
14,0.000014,0.000012,0.000003,0.000011,0.000076
15,0.000013,0.000011,0.000002,0.000000,0.000085
22,0.000017,0.000018,0.000003,0.000012,0.000227
23,0.000015,0.000014,0.000003,0.000012,0.000167
23,0.000015,0.000016,0.000003,0.000003,0.000246
23,0.000014,0.000016,0.000003,0.000013,0.000233
20,0.000014,0.000013,0.000002,0.000002,0.000132
10,0.000011,0.000008,0.000002,0.000000,0.000040
100,0.000035,0.000071,0.000009,0.000057,0.004905
50,0.000022,0.000034,0.000005,0.000023,0.001186
40,0.000019,0.000023,0.000003,0.000018,0.000787
7,2.000000,0.000008,0.000001,0.000000,0.000020
45,0.000019,0.000029,0.000004,0.000022,0.000910
40,0.000018,0.000023,0.000005,0.000017,0.000801
40,0.000019,0.000023,0.000004,0.000017,0.000755
40,0.000030,0.000027,0.000005,0.000018,0.000881
40,0.000019,0.000025,0.000004,0.000017,0.000771
7,2.000000,0.000008,0.000001,0.000000,0.000020
10,0.000012,0.000007,0.000002,0.000001,0.000041
20,0.000015,0.000013,0.000002,0.000003,0.000175
30,0.000015,0.000018,0.000003,0.000016,0.000443
20,0.000014,0.000012,0.000002,0.000004,0.000128
20,0.000014,0.000013,0.000003,0.000003,0.000127
30,0.000015,0.000020,0.000002,0.000017,0.000438
40,0.000018,0.000024,0.000004,0.000017,0.000780
42,0.000018,0.000027,0.000005,0.000019,0.000823
16,0.000014,0.000010,0.000003,0.000002,0.000087
17,0.000027,0.000016,0.000004,0.000002,0.000123
5,0.000010,0.000005,0.000001,0.000002,0.000014
15,0.000011,0.000010,0.000001,0.000001,0.000087
14,0.000013,0.000007,0.000001,0.000002,0.000055
13,0.000012,0.000011,0.000002,0.000001,0.000069
12,0.000012,0.000009,0.000003,0.000001,0.000059
11,0.000013,0.000009,0.000002,0.000001,0.000050
10,0.000010,0.000008,0.000002,0.000001,0.000038
17,0.000013,0.000011,0.000002,0.000002,0.000141
7,-0.000000,0.000007,0.000010,0.000000,0.000022
18,0.000014,0.000014,0.000003,0.000002,0.000112
100,0.000035,0.000068,0.000008,0.000054,0.005021
1000,0.000269,0.000467,0.000072,0.004260,0.439630
1000,0.000278,0.000543,0.000085,0.003500,0.394172
1000,0.000277,0.000558,0.000093,0.003659,0.402840
1000,0.000276,0.000519,0.000086,0.003473,0.404811
10,0.000011,0.000008,0.000001,0.000001,0.000039
7,3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000,0.000009,0.000002,0.000000,0.000019
100,0.000034,0.000068,0.000009,0.000053,0.004870
11,0.000011,0.000009,0.000001,0.000001,0.000048
12,0.000013,0.000009,0.000003,0.000001,0.000076
13,0.000012,0.000009,0.000003,0.000001,0.000066
14,0.000013,0.000011,0.000002,0.000002,0.000074
15,0.000013,0.000010,0.000002,0.000002,0.000083
16,0.000012,0.000009,0.000003,0.000002,0.000088
17,0.000013,0.000012,0.000003,0.000011,0.000102
18,0.000014,0.000013,0.000003,0.000002,0.000109
999,0.000284,0.000498,0.000068,0.003575,0.398210
999,0.000272,0.000538,0.000055,0.005077,0.397170
998,0.000266,0.000509,0.000076,0.003775,0.405563
998,0.000274,0.000508,0.000086,0.003718,0.397708
997,0.000265,0.000499,0.000072,0.005456,0.400256
997,0.000276,0.000541,0.000053,0.003582,0.394675
996,0.000273,0.000540,0.000053,0.003459,0.393015
995,0.000276,0.000542,0.000053,0.003463,0.390709
994,0.000271,0.000529,0.000085,0.004258,0.394432
993,0.000274,0.000539,0.000053,0.003610,0.389956
992,0.000270,0.000532,0.000053,0.003471,0.384443
5000,0.001346,0.002624,0.000475,0.088349,9.691737
99,0.000034,0.000068,0.000010,0.000053,0.004774
100,0.000033,0.000065,0.000018,0.000051,0.004937
101,0.000033,0.000076,0.000009,0.000053,0.005079
999,0.000485,0.000586,0.000096,0.004072,0.402696
999,0.000267,0.000485,0.000063,0.003565,0.416024
999,0.000264,0.000465,0.000094,0.003755,0.409731
100,0.000034,0.000067,0.000009,0.000054,0.000412
1000,0.000267,0.000480,0.000089,0.005476,0.029112
1000,0.000267,0.000481,0.000092,0.003597,0.027615
7,0.000000,0.000008,0.000002,0.000001,0.000004
10000,0.002719,0.005028,0.001800,0.347274,2.365239
7,-0.000000,0.000011,0.000002,0.000001,0.000028
10,0.000011,0.000007,0.000001,0.000001,0.000006
10,0.000011,0.000008,0.000001,0.000001,0.000006
10,0.000012,0.000009,0.000001,0.000001,0.000007
100,0.000036,0.000069,0.000009,0.000052,0.000406
1000,0.000268,0.000479,0.000069,0.003575,0.026523
10000,0.002708,0.004856,0.001825,0.345110,2.392288
7,26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000,0.000007,0.000001,0.000000,0.000004
8,0.000011,0.000007,0.000003,0.000000,0.000005
10,0.000012,0.000008,0.000002,0.000001,0.000005
7,-0.000000,0.000008,0.000002,0.000001,0.000004
100,0.000035,0.000068,0.000010,0.000055,0.000402
7,3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000,0.000008,0.000001,0.000002,0.000005
7,231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000009,0.000001,0.000001,0.000004
7,-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000008,0.000002,0.000001,0.000022
8,0.000011,0.000006,0.000001,0.000001,0.000028
10,0.000012,0.000009,0.000001,0.000004,0.000041
9,0.000019,0.000006,0.000003,0.000001,0.000035
10,0.000012,0.000007,0.000003,0.000001,0.000045
7,0.000000,0.000008,0.000002,0.000002,0.000021
7,231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000007,0.000001,0.000000,0.000023
100,0.000036,0.000080,0.000009,0.000075,0.005073
7,-0.000000,0.000007,0.000002,0.000000,0.000022
7,231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000008,0.000002,0.000001,0.000021
7,-0.000000,0.000007,0.000002,0.000001,0.000023
7,-0.000000,0.000012,0.000001,0.000001,0.000023
100,0.000035,0.000107,0.000009,0.000081,0.005077
100,0.000035,0.000072,0.000009,0.000055,0.005143
100,0.000064,0.000087,0.000009,0.000057,0.005547
100,0.000036,0.000073,0.000009,0.000053,0.005373
1000,0.000288,0.000506,0.000083,0.003572,0.378055
7,-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000,0.000008,0.000002,0.000001,0.000021
7,0.000000,0.000008,0.000002,0.000000,0.000022
1000,0.000276,0.000485,0.000117,0.003751,0.381804
